n,delta_label,delta,p_label,p_true,mu1_true,mu2_true,sigma1_sq_true,sigma2_sq_true,replicate,seed,method,time_sec,success,p_hat,mu1_hat,mu2_hat,sigma1_sq_hat,sigma2_sq_hat,p_error,mu1_error,mu2_error,sigma1_sq_error,sigma2_sq_error,p_abs_error,mu1_abs_error,mu2_abs_error,sigma1_sq_abs_error,sigma2_sq_abs_error
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,17,17,MLE,0.5581591000081971,True,0.14434051177652027,-2.0660869618277733,-0.026567308855504342,0.009587143755918886,0.5679553199112444,-0.3556594882234797,-2.0660869618277733,-0.5265673088555043,-0.9904128562440812,-0.43204468008875563,0.3556594882234797,2.0660869618277733,0.5265673088555043,0.9904128562440812,0.43204468008875563
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,18,18,MM,0.001422200002707541,True,0.5966416734256345,-0.44799897548683276,0.8162749512343135,0.19891029123410964,2.0814180851642483,0.09664167342563446,-0.44799897548683276,0.3162749512343135,-0.8010897087658904,1.0814180851642483,0.09664167342563446,0.44799897548683276,0.3162749512343135,0.8010897087658904,1.0814180851642483
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,18,18,MLE,0.5537681999849156,True,0.8419135992087343,-0.3074581675050238,2.0293311172342916,0.4918617845538649,1.277922857992156,0.3419135992087343,-0.3074581675050238,1.5293311172342916,-0.5081382154461351,0.277922857992156,0.3419135992087343,0.3074581675050238,1.5293311172342916,0.5081382154461351,0.277922857992156
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,19,19,MM,0.001512399991042912,True,0.5486473970236323,-0.5723627555716962,0.9630921236076083,0.4428468133969445,0.4139414079051361,0.0486473970236323,-0.5723627555716962,0.4630921236076083,-0.5571531866030555,-0.5860585920948639,0.0486473970236323,0.5723627555716962,0.4630921236076083,0.5571531866030555,0.5860585920948639
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,19,19,MLE,1.5049727999139577,True,0.8808000131468032,-0.10488233074501767,1.7873253581823882,0.7184692696022081,0.04095818626364892,0.38080001314680323,-0.10488233074501767,1.2873253581823882,-0.28153073039779186,-0.9590418137363511,0.38080001314680323,0.10488233074501767,1.2873253581823882,0.28153073039779186,0.9590418137363511
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,20,20,MM,0.001500000013038516,True,0.585345310601915,-1.6283469851419914,1.0457601937805456,0.4909488095692863,0.4810045933149005,0.08534531060191497,-1.6283469851419914,0.5457601937805456,-0.5090511904307137,-0.5189954066850995,0.08534531060191497,1.6283469851419914,0.5457601937805456,0.5090511904307137,0.5189954066850995
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,20,20,MLE,0.3870801000157371,True,0.7334624227108053,-1.242710195366244,1.4705818637601762,0.9892203036611771,0.21636317164551666,0.2334624227108053,-1.242710195366244,0.9705818637601762,-0.01077969633882292,-0.7836368283544833,0.2334624227108053,1.242710195366244,0.9705818637601762,0.01077969633882292,0.7836368283544833
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,21,21,MM,0.0015215999446809292,False,,,,,,,,,,,,,,,
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,21,21,MLE,0.22085190005600452,True,0.7680044637945491,0.13833649264360018,1.7098438380000676,0.3925028034385111,0.025313644295227446,0.2680044637945491,0.13833649264360018,1.2098438380000676,-0.6074971965614888,-0.9746863557047726,0.2680044637945491,0.13833649264360018,1.2098438380000676,0.6074971965614888,0.9746863557047726
20,weak,0.5,balanced,0.5,0.0,0.5,1.0,1.0,22,22,MM,0.0016596000641584396,True,0.5983321545455729,-0.429177808448827,1.745040785353182,0.8713047678325385,0.19596139240455782,0.09833215454557287,-0.429177808448827,1.245040785353182,-0.12869523216746148,-0.8040386075954422,0.09833215454557287,0.429177808448827,1.245040785353182,0.12869523216746148,0.8040386075954422
