n,delta_label,delta,p_label,p_true,ratio_label,variance_ratio,mu1_true,mu2_true,sigma1_sq_true,sigma2_sq_true,replicate,seed,method,time_sec,success,p_hat,mu1_hat,mu2_hat,sigma1_sq_hat,sigma2_sq_hat,p_error,mu1_error,mu2_error,sigma1_sq_error,sigma2_sq_error,p_abs_error,mu1_abs_error,mu2_abs_error,sigma1_sq_abs_error,sigma2_sq_abs_error
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,31,900000031,MLE,0.7256331999087706,True,0.3137577740166635,-0.14904199571402849,0.8944091382178648,0.08159753731017935,1.6522310990732518,-0.1862422259833365,-0.14904199571402849,0.28203670252207025,-0.9184024626898206,-0.3477689009267486,0.1862422259833365,0.14904199571402849,0.28203670252207025,0.9184024626898206,0.3477689009267486
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,25,900000025,MM,0.0017615999095141888,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,25,900000025,MLE,3.623872800031677,True,0.06608860668922546,-2.034588873742938,0.5552536692451266,0.09496030355392011,1.069264696223233,-0.43391139331077455,-2.034588873742938,-0.057118766450667935,-0.9050396964460798,-0.9307353037767674,0.43391139331077455,2.034588873742938,0.057118766450667935,0.9050396964460798,0.9307353037767674
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,35,900000035,MM,0.0021243999944999814,True,0.7750785512954445,-0.006463050937694614,2.1835298771192866,0.9566934009302206,0.46270391586718007,0.27507855129544445,-0.006463050937694614,1.571157441423492,-0.043306599069779406,-1.5372960841328203,0.27507855129544445,0.006463050937694614,1.571157441423492,0.043306599069779406,1.5372960841328203
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,35,900000035,MLE,0.7991628999589011,True,0.8809973713019486,0.17816911082324804,2.765878505476369,1.1030287021655059,0.06626723568600489,0.38099737130194855,0.17816911082324804,2.1535060697805744,0.10302870216550586,-1.9337327643139957,0.38099737130194855,0.17816911082324804,2.1535060697805744,0.10302870216550586,1.9337327643139957
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,38,900000038,MM,0.0008960999548435211,True,0.4845036516466273,-0.42691696355395015,1.2400855364416596,0.5250266082956366,0.638614752105447,-0.015496348353372713,-0.42691696355395015,0.6277131007458651,-0.47497339170436337,-1.3613852478945534,0.015496348353372713,0.42691696355395015,0.6277131007458651,0.47497339170436337,1.3613852478945534
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,38,900000038,MLE,0.6270319999894127,True,0.058060840554099276,-1.1777969070936647,0.5316698125303595,0.018725776818714387,1.1855670286262792,-0.44193915944590073,-1.1777969070936647,-0.08070262316543508,-0.9812742231812857,-0.8144329713737213,0.44193915944590073,1.1777969070936647,0.08070262316543508,0.9812742231812857,0.8144329713737213
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,34,900000034,MM,0.001865199999883771,False,,,,,,,,,,,,,,,
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,34,900000034,MLE,1.5089697999646887,True,0.7698397886820025,0.4893330792055564,0.6593941860136034,2.7103504977496518,0.08256476980046186,0.26983978868200253,0.4893330792055564,0.047021750317808864,1.7103504977496518,-1.9174352301995385,0.26983978868200253,0.4893330792055564,0.047021750317808864,1.7103504977496518,1.9174352301995385
50,weak,0.5,balanced,0.5,ratio_2,2.0,0.0,0.6123724356957946,1.0,2.0000000000000004,32,900000032,MM,0.0011880999663844705,True,0.3202536050384728,-1.0053547928340647,1.0881326671911684,0.5924937613756579,0.6774743785656037,-0.17974639496152722,-1.0053547928340647,0.47576023149537383,-0.4075062386243421,-1.3225256214343968,0.17974639496152722,1.0053547928340647,0.47576023149537383,0.4075062386243421,1.3225256214343968
